專用標識編號,中文名稱,地址
苗栗縣旅館078號,愛麗舍精品旅館,351苗栗縣頭份市中華路1489號
苗栗縣旅館079號,F商旅三義館,"367苗栗縣三義鄉廣盛村復興路16-1號B1-8樓,16-2號1-8樓"
苗栗縣旅館080號,御親園商務汽車旅館,363苗栗縣公館鄉五谷村12鄰五谷二路55號
苗栗縣旅館082號,尚順君樂飯店,351苗栗縣頭份市育樂街6號
苗栗縣旅館084號,觀霧山莊,365苗栗縣泰安鄉梅園村觀霧8號
苗栗縣旅館085號,采莓行館,364苗栗縣大湖鄉大湖村中山路37號
苗栗縣旅館086號,享沐時光,358苗栗縣苑裡鎮石鎮里錦山8-1、8-2號
苗栗縣旅館087號,禾家商旅,360苗栗縣苗栗市建功里忠孝路77號
苗栗縣旅館088號,崎頂新樂園,350苗栗縣竹南鎮崎頂里北戶39號
苗栗縣旅館089號,銅鑼灣商務旅館,366苗栗縣銅鑼鄉銅鑼村中正路152號
苗栗縣旅館090號,舞牛森度假飯店,357苗栗縣通霄鎮12鄰南和165-5號
苗栗縣旅館091號,水漾月明度假文旅,362苗栗縣頭屋鄉明德村明德路54號
苗栗縣民宿001號,馨雅民宿,367苗栗縣三義鄉廣盛村37鄰廣聲新城21號
苗栗縣民宿003號,楚留香民宿,365苗栗縣泰安鄉清安村12鄰洗水坑114號
苗栗縣民宿004號,眉山居,353苗栗縣南庄鄉田美村6鄰田美106號
苗栗縣民宿006號,力新小築,353苗栗縣南庄鄉南江村5鄰東江100號
苗栗縣民宿013號,富錸民宿,364苗栗縣大湖鄉東興村7鄰上湖99號
苗栗縣民宿014號,栗田庄,353苗栗縣南庄鄉南江村14鄰小東河17-2號
苗栗縣民宿019號,侑橘休閒農園,352苗栗縣三灣鄉永和村8鄰北坑12-1號
苗栗縣民宿020號,向陽田園,367苗栗縣三義鄉龍騰村1鄰龍騰9-5號
苗栗縣民宿021號,霖園民宿,354苗栗縣獅潭鄉永興村3鄰永興16-6號
苗栗縣民宿022號,紅磚屋特色民宿,353苗栗縣南庄鄉南江村9鄰里金館32-3號
苗栗縣民宿029號,吶善瑪固,353苗栗縣南庄鄉東河村24鄰鹿場19號
苗栗縣民宿030號,里京館,353苗栗縣南庄鄉南江村9鄰里金館33號
苗栗縣民宿033號,友泰民宿溫泉館,365苗栗縣泰安鄉錦水村6鄰圓墩46-2號
苗栗縣民宿034號,如意園,357苗栗縣通霄鎮福興里4鄰33-9號
苗栗縣民宿035號,般若民宿,365苗栗縣泰安鄉錦山村5鄰圓墩16-2號
苗栗縣民宿039號,吉娃斯,365苗栗縣泰安鄉錦水村9鄰橫龍山44號
苗栗縣民宿041號,達拉灣民宿,365苗栗縣泰安鄉士林村5鄰馬那邦32-1號
苗栗縣民宿042號,ㄠ嶩民宿,365苗栗縣泰安鄉梅園村2鄰梅園23號
苗栗縣民宿045號,長青谷,369苗栗縣卓蘭鎮上新里15鄰食水坑78號
苗栗縣民宿046號,桐莊,363苗栗縣公館鄉福德村4鄰福德35-12號
苗栗縣民宿050號,毓琇圖書山莊,353苗栗縣南庄鄉南江村9鄰里金館35號
苗栗縣民宿053號,湖畔花時間,364苗栗縣大湖鄉義和村8鄰淋漓坪126號
苗栗縣民宿054號,宜家園,353苗栗縣南庄鄉南江村14鄰小東河1-1號
苗栗縣民宿055號,馬力十族民宿,365苗栗縣泰安鄉錦水村12鄰圓墩92號
苗栗縣民宿058號,欣園民宿,357苗栗縣通霄鎮內島里2鄰內島16-7號
苗栗縣民宿060號,鹿野觀雲民宿,363苗栗縣公館鄉福德村4鄰福德35-11號
苗栗縣民宿061號,福村養生農場,363苗栗縣公館鄉福德村1鄰福德7-1號
苗栗縣民宿062號,福田瓦舍,367苗栗縣三義鄉龍騰村1鄰龍騰26號
苗栗縣民宿063號,伴月民宿,353苗栗縣南庄鄉蓬萊村5鄰紅毛館68-1號
苗栗縣民宿064號,石壁彩虹民宿,353苗栗縣南庄鄉東河村21鄰石壁21號
苗栗縣民宿066號,杉林松境,353苗栗縣南庄鄉東河村12鄰橫屏背26號
苗栗縣民宿067號,逸悅山莊,367苗栗縣三義鄉雙潭村13鄰崩山下9之1號
苗栗縣民宿068號,容園谷景觀渡假山莊,353苗栗縣南庄鄉蓬萊村18鄰紅毛館17號
苗栗縣民宿071號,玉荷園,353苗栗縣南庄鄉東村中正路242號
苗栗縣民宿073號,馨享士宸,364苗栗縣大湖鄉新開村16鄰10份11-1號
苗栗縣民宿074號,水雲間,353苗栗縣南庄鄉東河村10鄰六隘寮23號
苗栗縣民宿077號,兆陽樓,363苗栗縣公館鄉福德村4鄰福德36-13號
苗栗縣民宿079號,鳳櫻碧山莊,353苗栗縣南庄鄉蓬萊村9鄰42份8-9號
苗栗縣民宿083號,竹美民宿,365苗栗縣泰安鄉錦水村9鄰橫龍山35之2號
苗栗縣民宿084號,福軒養生館,367苗栗縣三義鄉雙潭村10鄰雙連潭155號
苗栗縣民宿087號,山居蘭園,353苗栗縣南庄鄉南富村22鄰四灣77之1號
苗栗縣民宿093號,百合山莊,353苗栗縣南庄鄉南江村17鄰福南50號
苗栗縣民宿095號,尤瑪阿麗,365苗栗縣泰安鄉錦水村6鄰圓墩40之1號
苗栗縣民宿098號,石門客棧,364苗栗縣大湖鄉栗林村16鄰竹橋20號
苗栗縣民宿099號,翠松苑民宿,357苗栗縣通霄鎮南和里10鄰南和127-1號
苗栗縣民宿101號,南江璞園,353苗栗縣南庄鄉南江村3鄰東江31-8號
苗栗縣民宿102號,柏竺山莊,367苗栗縣三義鄉雙潭村13鄰崩山下10號
苗栗縣民宿103號,好望角民宿,357苗栗縣通霄鎮福興里11鄰126-3號
苗栗縣民宿104號,?州小木屋,367苗栗縣三義鄉龍騰村13鄰龍騰6-7號
苗栗縣民宿106號,綠風民宿,363苗栗縣公館鄉福德村4鄰福德36-21號
苗栗縣民宿108號,雲莊空間密碼民宿,364苗栗縣大湖鄉富興村12鄰水尾坪49-20號
苗栗縣民宿112號,我的花園,363苗栗縣公館鄉館南村24鄰館南293-2號
苗栗縣民宿113號,雲夢山林民宿,365苗栗縣泰安鄉清安村12鄰洗水坑114-1號
苗栗縣民宿114號,寶康花卉農場,353苗栗縣南庄鄉田美村12鄰四灣47-2號
苗栗縣民宿115號,松緣民宿,353苗栗縣南庄鄉田美村2鄰田美22-22號
苗栗縣民宿117號,老古董民宿,365苗栗縣泰安鄉清安村5鄰洗水坑141-2號
苗栗縣民宿118號,桂橘園民宿,354苗栗縣獅潭鄉永興村3鄰永興16-7號
苗栗縣民宿121號,茗緣居民宿,367苗栗縣三義鄉雙潭村8鄰雙連潭100號
苗栗縣民宿122號,八卦力民宿,353苗栗縣南庄鄉蓬萊村11鄰八卦力25-1號
苗栗縣民宿125號,湯神民宿,364苗栗縣大湖鄉大寮村12鄰大窩1-10號
苗栗縣民宿126號,太湖民宿,364苗栗縣大湖鄉大寮村7鄰草崠21號
苗栗縣民宿127號,神棹仙境民宿,352苗栗縣三灣鄉大河村2鄰神棹山20號
苗栗縣民宿129號,仙山民宿,353苗栗縣南庄鄉蓬萊村2鄰紅毛館35號
苗栗縣民宿130號,黃石山莊,367苗栗縣三義鄉雙潭村13鄰崩山下2號
苗栗縣民宿131號,慈夢柔民宿,364苗栗縣大湖鄉富興村9鄰八寮灣1-10號
苗栗縣民宿132號,馬拉邦渡假山莊,364苗栗縣大湖鄉東興村12鄰上湖87號
苗栗縣民宿135號,碧絡角民宿,353苗栗縣南庄鄉東河村12鄰橫屏背25號
苗栗縣民宿136號,石濤園,367苗栗縣三義鄉雙潭村12鄰石峎32號
苗栗縣民宿138號,青杉嶴民宿,353苗栗縣南庄鄉東河村21鄰石壁23號
苗栗縣民宿139號,陶然渡假山莊,353苗栗縣南庄鄉蓬萊村9鄰42份8-5號
苗栗縣民宿140號,東里家風,358苗栗縣苑裡鎮苑坑里2鄰苑坑8號
苗栗縣民宿142號,湯唯民宿,365苗栗縣泰安鄉錦水村10鄰橫龍山72-2號
苗栗縣民宿143號,阿湯哥民宿,365苗栗縣泰安鄉錦水村10鄰橫龍山72-1號
苗栗縣民宿147號,總統民宿,353苗栗縣南庄鄉田美村12鄰紫金山莊93號
苗栗縣民宿148號,薑麻園裕國山莊,364苗栗縣大湖鄉栗林村9鄰薑麻園12之6號
苗栗縣民宿150號,曲中居音樂民宿,353苗栗縣南庄鄉西村5鄰中山路96之3號
苗栗縣民宿151號,楓葉地圖民宿,364苗栗縣大湖鄉東興村5鄰上湖108號
苗栗縣民宿154號,卓也小屋,367苗栗縣三義鄉雙潭村13鄰崩山下1-9號
苗栗縣民宿156號,禪之宿,367苗栗縣三義鄉雙潭村13鄰崩山下9之3號
苗栗縣民宿159號,愛面子民宿,367苗栗縣三義鄉雙潭村11鄰雙連潭138號
苗栗縣民宿163號,米堤園,353苗栗縣南庄鄉南江村9鄰里金館40號
苗栗縣民宿164號,安碩民宿,361苗栗縣造橋鄉大西村8鄰尖豐路186巷1弄66號
苗栗縣民宿165號,巧克力雲莊,364苗栗縣大湖鄉富興村4鄰水尾坪82號
苗栗縣民宿166號,綠草地,353苗栗縣南庄鄉南江村9鄰里金館32-8號
苗栗縣民宿167號,藝欣山莊,353苗栗縣南庄鄉東村中正路138號
苗栗縣民宿169號,都瑪斯民宿,365苗栗縣泰安鄉梅園村1鄰梅園12-1號
苗栗縣民宿172號,慕哲哈比屋,367苗栗縣三義鄉廣盛村34鄰重河路324之12號
苗栗縣民宿175號,陳媽媽民宿,352苗栗縣三灣鄉內灣村1鄰二灣8號
苗栗縣民宿176號,景舍休閒山莊,353苗栗縣南庄鄉蓬萊村9鄰42份8-17號
苗栗縣民宿177號,南庄蔓森活民宿,353苗栗縣南庄鄉蓬萊村9鄰42份7-3號
苗栗縣民宿182號,土牧驛健康農莊,365苗栗縣泰安鄉八卦村4鄰八卦力59-3號
苗栗縣民宿183號,田媽媽民宿,367苗栗縣三義鄉廣盛村4鄰廣盛60之1號
苗栗縣民宿185號,天然居民宿,365苗栗縣泰安鄉清安村3鄰小南角16之1號
苗栗縣民宿186號,穆月樓民宿,365苗栗縣泰安鄉清安村3鄰小南角16-2號
苗栗縣民宿189號,圓夢築,367苗栗縣三義鄉廣盛村41鄰八股館前9巷1-5號
苗栗縣民宿191號,三義幸福小築館前民宿,367苗栗縣三義鄉廣盛村39鄰八股路館前2巷1-2號
苗栗縣民宿192號,薇萱小築,367苗栗縣三義鄉廣盛村41鄰八股館前9巷1-11號
苗栗縣民宿194號,向天湖咖啡民宿,353苗栗縣南庄鄉東河村16鄰向天湖26號
苗栗縣民宿195號,飛螢農莊,357苗栗縣通霄鎮福興里11鄰福興126號
苗栗縣民宿196號,伽芝萊民宿,357苗栗縣通霄鎮福興里13鄰福興148-6號
苗栗縣民宿197號,南庄好山好水民宿,353苗栗縣南庄鄉蓬萊村4鄰紅毛館53-6號
苗栗縣民宿198號,?娟夢田,367苗栗縣三義鄉龍騰村1鄰龍騰9-1號
苗栗縣民宿199號,南莊民宿小哥的家,353苗栗縣南庄鄉南江村10鄰石坑3-2號
苗栗縣民宿200號,一葉蘭民宿,353苗栗縣南庄鄉東河村24鄰鹿場21-1號
苗栗縣民宿203號,南庄橄欖樹咖啡民宿,353苗栗縣南庄鄉蓬萊村9鄰42份7-6號
苗栗縣民宿204號,桐花森林渡假民宿,353苗栗縣南庄鄉南江村3鄰東江31-6號
苗栗縣民宿206號,菊園,364苗栗縣大湖鄉栗林村9鄰薑麻園15號
苗栗縣民宿207號,天花湖民宿,362苗栗縣頭屋鄉飛鳳村3鄰飛鳳40-1號
苗栗縣民宿208號,日光呼吸,362苗栗縣頭屋鄉明德村2鄰明德43-1號
苗栗縣民宿209號,樹也民宿,367苗栗縣三義鄉龍騰村5鄰外庄27-1號
苗栗縣民宿211號,左岸LED庭園,353苗栗縣南庄鄉東河村1鄰東興新?176號
苗栗縣民宿213號,松鶴祥和居民宿,363苗栗縣公館鄉仁安村9鄰仁安118-3號
苗栗縣民宿217號,仙山農園民宿,354苗栗縣獅潭鄉新店村1鄰小東勢19號
苗栗縣民宿218號,薄霧館民宿,367苗栗縣三義鄉廣盛村41鄰八股路館前8巷1-2號
苗栗縣民宿221號,苗栗松鶴陶然居民宿,363苗栗縣公館鄉仁安村9鄰仁安118-7號
苗栗縣民宿222號,花露民宿,369苗栗縣卓蘭鎮西坪里4鄰西坪43-3號
苗栗縣民宿223號,遇見台灣百合,352苗栗縣三灣鄉銅鏡村7鄰大銅鑼圈69-11號
苗栗縣民宿224號,慕農客民宿,363苗栗縣公館鄉開礦村1鄰開礦22-10號
苗栗縣民宿225號,譚家園民宿,353苗栗縣南庄鄉田美村2鄰田美23-7號
苗栗縣民宿226號,印象.泰雅渡假民宿,365苗栗縣泰安鄉象鼻村1鄰象鼻39號
苗栗縣民宿228號,栗丘民宿,366苗栗縣銅鑼鄉朝陽村1鄰朝北3-1號
苗栗縣民宿229號,普羅旺斯鄉村民宿,353苗栗縣南庄鄉蓬萊村9鄰42份8之35號
苗栗縣民宿231號,問樵山居,353苗栗縣南庄鄉田美村1鄰田美20號
苗栗縣民宿232號,御品園,369苗栗縣卓蘭鎮西坪里3鄰西坪36-26號
苗栗縣民宿233號,野薑花森林坊,367苗栗縣三義鄉雙潭村13鄰崩山下3號
苗栗縣民宿234號,御賞屋民宿,364苗栗縣大湖鄉富興村9鄰八寮灣1-60號
苗栗縣民宿235號,翡翠別館,353苗栗縣南庄鄉員林村15鄰屯營68號
苗栗縣民宿236號,逗號民宿,353苗栗縣南庄鄉南江村17鄰福南58號
苗栗縣民宿237號,福人居,364苗栗縣大湖鄉大南村6鄰大南勢32-1號
苗栗縣民宿238號,山水居民宿,364苗栗縣大湖鄉栗林村13鄰內雙坑5-5號
苗栗縣民宿239號,湖畔栗鯉,364苗栗縣大湖鄉新開村2鄰新開69-1號
苗栗縣民宿240號,山明民宿,367苗栗縣三義鄉廣盛村6鄰復興路52-1號
苗栗縣民宿241號,戀戀山水農莊民宿,363苗栗縣公館鄉開礦村2鄰開礦30號
苗栗縣民宿242號,富川花園,353苗栗縣南庄鄉東村17鄰環清路36號
苗栗縣民宿243號,福美青鳥山莊,353苗栗縣南庄鄉獅山村1鄰田美15-1號
苗栗縣民宿245號,金成山莊,353苗栗縣南庄鄉東村2鄰東江26號
苗栗縣民宿246號,萱草森林鄉村民宿,353苗栗縣南庄鄉蓬萊村9鄰42份8-1號
苗栗縣民宿253號,水岸明珠,353苗栗縣南庄鄉西村11鄰大屋坑32-5號
苗栗縣民宿254號,釣魚台農莊,362苗栗縣頭屋鄉明德村21鄰仁隆52號
苗栗縣民宿255號,春友庭園民宿,353苗栗縣南庄鄉東村17鄰南庄111號
苗栗縣民宿258號,瑪懷舒民宿,365苗栗縣泰安鄉錦水村6鄰圓墩39-6號
苗栗縣民宿259號,石風民宿,364苗栗縣大湖鄉富興村6鄰水尾5-10號
苗栗縣民宿260號,哈利匠民宿,365苗栗縣泰安鄉士林村4鄰馬那邦2-6號
苗栗縣民宿261號,釣魚的貓,357苗栗縣通霄鎮福興里13鄰福興148之12號
苗栗縣民宿262號,勻淨湖民宿,364苗栗縣大湖鄉新開村3鄰新開70之2號
苗栗縣民宿263號,長屋民宿,357苗栗縣通霄鎮福興里8鄰福興88之8號
苗栗縣民宿265號,櫻花渡假會館,367苗栗縣三義鄉廣盛村41鄰八股路館前8巷1-18號
苗栗縣民宿267號,八角居所民宿,354苗栗縣獅潭鄉新豐村6鄰八角坑2之1號
苗栗縣民宿268號,美富安休閒館,365苗栗縣泰安鄉象鼻村3鄰永安33之6號
苗栗縣民宿269號,水采田家,367苗栗縣三義鄉鯉魚潭村12鄰上山下60-5號
苗栗縣民宿270號,白沙墩民宿,357苗栗縣通霄鎮白西里10鄰白西57號
苗栗縣民宿271號,藝術巴黎民宿,353苗栗縣南庄鄉南江村5鄰東江91號
苗栗縣民宿272號,愛山居民宿,364苗栗縣大湖鄉栗林村13鄰內雙坑5-1號
苗栗縣民宿273號,綠波浪森林會館民宿,367苗栗縣三義鄉龍騰村13鄰龍騰3之6號
苗栗縣民宿274號,加州莊園民宿,353苗栗縣南庄鄉蓬萊村9鄰42份8-39號
苗栗縣民宿275號,五福山莊民宿,367苗栗縣三義鄉龍騰村12鄰草排40號
苗栗縣民宿276號,象鼻休閒山莊,365苗栗縣泰安鄉象鼻村1鄰象鼻9之3號
苗栗縣民宿277號,桐遊柿界民宿,363苗栗縣公館鄉館東村12鄰館東166之6號
苗栗縣民宿279號,湯源民宿,365苗栗縣泰安鄉錦水村7鄰圓墩63之3號
苗栗縣民宿280號,史迪奈民宿,367苗栗縣三義鄉鯉魚潭村4鄰鯉魚口77-1號
苗栗縣民宿282號,星宿民宿,353苗栗縣南庄鄉蓬萊村4鄰紅毛館53-1號
苗栗縣民宿283號,好自在民宿,365苗栗縣泰安鄉大興村4鄰57號
苗栗縣民宿285號,瞭望角民宿,365苗栗縣泰安鄉清安村3鄰小南角66號
苗栗縣民宿286號,好地方民宿,353苗栗縣南庄鄉南江村23鄰福南24之6號
苗栗縣民宿287號,泉銘行館,364苗栗縣大湖鄉富興村7鄰八寮灣33之31號
苗栗縣民宿288號,我的家51-6民宿,363苗栗縣公館鄉福星村2鄰福星51之6號
苗栗縣民宿289號,綠野神農休閒民宿,363苗栗縣公館鄉仁安村9鄰仁安122-28號
苗栗縣民宿290號,微微風民宿,367苗栗縣三義鄉廣盛村41鄰八股路館前7巷1-1號 
苗栗縣民宿291號,圓夢山莊民宿,357苗栗縣通霄鎮城北里11鄰城北89之5號
苗栗縣民宿292號,攬月莊民宿,363苗栗縣公館鄉福德村4鄰福德35-2號
苗栗縣民宿293號,馨藝庭園民宿,368苗栗縣西湖鄉高埔村2鄰大窩10之9號
苗栗縣民宿294號,上山回家民宿,364苗栗縣大湖鄉東興村5鄰上湖85之5號
苗栗縣民宿295號,戀空民宿,361苗栗縣造橋鄉造橋村15鄰東坑9之3號
苗栗縣民宿296號,桐花山莊,367苗栗縣三義鄉廣盛村41鄰八股路館前8巷1之10號
苗栗縣民宿297號,蓬萊仙境渡假山莊,353苗栗縣南庄鄉蓬萊村10鄰四二份20之8號
苗栗縣民宿298號,樂福民宿,367苗栗縣三義鄉雙潭村6鄰雙連潭87之3號
苗栗縣民宿299號,築夢農莊,363苗栗縣公館鄉福星村2鄰福星43之2號
苗栗縣民宿301號,富邑山莊,353苗栗縣南庄鄉田美村4鄰田美72之1號
苗栗縣民宿302號,水頭人家,364苗栗縣大湖鄉大寮村10鄰水頭寮14之8號
苗栗縣民宿305號,地圖楓葉民宿,364苗栗縣大湖鄉東興村5鄰上湖109號
苗栗縣民宿306號,旅人藝棧民宿,367苗栗縣三義鄉廣盛村37鄰廣聲新城11巷1號
苗栗縣民宿307號,21杉林別墅,353苗栗縣南庄鄉南江村19鄰南江9之2號
苗栗縣民宿308號,霧上雲端,364苗栗縣大湖鄉栗林村9鄰薑麻園13號
苗栗縣民宿309號,衝到山上去放空民宿,363苗栗縣公館鄉福星村7鄰福星227之3號
苗栗縣民宿310號,蘇維拉民宿,353苗栗縣南庄鄉田美村16鄰四灣92號
苗栗縣民宿311號,和風民宿,363苗栗縣公館鄉仁安村6鄰仁安100之17號
苗栗縣民宿312號,風山漸民宿,353苗栗縣南庄鄉田美村2鄰田美22之3號
苗栗縣民宿313號,好珈農莊,367苗栗縣三義鄉龍騰村8鄰外庄62之6號
苗栗縣民宿314號,麥克尼景觀莊園,353苗栗縣南庄鄉東村17鄰南庄121號
苗栗縣民宿315號,天堂鳥民宿,353苗栗縣南庄鄉南江村5鄰東江98號
苗栗縣民宿316號,百成民宿,353苗栗縣南庄鄉南江村14鄰小東河23之2號
苗栗縣民宿317號,新百香民宿,353苗栗縣南庄鄉南江村14鄰小東河23之5號
苗栗縣民宿318號,紅蜻蜓民宿,357苗栗縣通霄鎮南和里11鄰南和135之2號
苗栗縣民宿319號,三義幸福小築民宿,367苗栗縣三義鄉廣盛村40鄰八股路館前5巷1-7號
苗栗縣民宿320號,山湖戀民宿,369苗栗縣卓蘭鎮上新里10鄰食水坑11之6號
苗栗縣民宿321號,百芙灡民宿,365苗栗縣泰安鄉梅園村6鄰天狗27之1號
苗栗縣民宿323號,南庄風鈴木咖啡民宿,353苗栗縣南庄鄉東村16鄰南庄79之5號
苗栗縣民宿324號,檜意村民宿,357苗栗縣通霄鎮南和里9鄰南和113之6號
苗栗縣民宿325號,湯之美溫泉,365苗栗縣泰安鄉錦水村10鄰橫龍山59之7號
苗栗縣民宿327號,三義竺夢園民宿,367苗栗縣三義鄉廣盛村41鄰八股路館前8巷1之5號
苗栗縣民宿329號,南庄漫晨旅店,353苗栗縣南庄鄉西村4鄰中山路40號
苗栗縣民宿331號,雲朵花園,353苗栗縣南庄鄉南江村3鄰東江31之13號
苗栗縣民宿332號,七里香民宿,354苗栗縣獅潭鄉竹木村4鄰北庄8號
苗栗縣民宿333號,夏內爾渡假民宿,364苗栗縣大湖鄉富興村7鄰八寮灣38號
苗栗縣民宿334號,藝術家莊園民宿,368苗栗縣西湖鄉高埔村2鄰大窩10之11號
苗栗縣民宿335號,麥可妮莊園,353苗栗縣南庄鄉東村17鄰南庄113號
苗栗縣民宿338號,逗點民宿,352苗栗縣三灣鄉內灣村1鄰龍峎頂5之17號
苗栗縣民宿339號,草山境,363苗栗縣公館鄉開礦村2鄰開礦26之10號
苗栗縣民宿340號,雲也山莊,369苗栗縣卓蘭鎮西坪里10鄰西坪122之6號
苗栗縣民宿341號,任意宿民宿,358苗栗縣苑裡鎮苑北里16鄰成功路7巷9號
苗栗縣民宿342號,八角隱士莊園,354苗栗縣獅潭鄉新豐村6鄰八角坑2之2號
苗栗縣民宿343號,水星花時間,364苗栗縣大湖鄉義和村8鄰淋漓坪110號
苗栗縣民宿344號,桂築林庭園民宿,353苗栗縣南庄鄉東村16鄰南庄78之10號 
苗栗縣民宿346號,看山民宿,354苗栗縣獅潭鄉新店村15鄰大東勢20之5號
苗栗縣民宿348號,景山林,369苗栗縣卓蘭鎮景山里4鄰景山63之3號
苗栗縣民宿349號,翩翩泰安 ,365苗栗縣泰安鄉錦水村11鄰圓墩86之6號
苗栗縣民宿350號,龜樹民宿,363苗栗縣公館鄉玉谷村1鄰玉谷7之5號
苗栗縣民宿351號,觀雲田莊,353苗栗縣南庄鄉員林村4鄰小南埔19之2號
苗栗縣民宿352號,卓也藏山館,367苗栗縣三義鄉雙潭村13鄰崩山下1之5號
苗栗縣民宿354號,三義行館,367苗栗縣三義鄉廣盛村41鄰八股路館前8巷1之19號 
苗栗縣民宿355號,石話石說民宿,367苗栗縣三義鄉廣盛村40鄰八股路館前6巷1之1號 
苗栗縣民宿356號,幸福綠光,353苗栗縣南庄鄉南江村14鄰小東河17之3號
苗栗縣民宿357號,日光森林,364苗栗縣大湖鄉大南村2鄰小南勢2之2號
苗栗縣民宿358號,正在旅行,367苗栗縣三義鄉廣盛村39鄰八股路館前2巷1之10號
苗栗縣民宿359號,巨缿民宿,367苗栗縣三義鄉勝興村22鄰水美105號
苗栗縣民宿360號,春雨庄園,353苗栗縣南庄鄉獅山村1鄰田美16之2號
苗栗縣民宿361號,燕子陶,353苗栗縣南庄鄉南江村19鄰南江6之3號
苗栗縣民宿362號,登陸天王星,364苗栗縣大湖鄉義和村8鄰淋漓坪120號
苗栗縣民宿363號,祁家院,363苗栗縣公館鄉館東村10鄰館東143之9號
苗栗縣民宿364號,響水客棧,363苗栗縣公館鄉開礦村13鄰開礦193號
苗栗縣民宿365號,御花苑民宿,364苗栗縣大湖鄉義和村11鄰和興22之8號
苗栗縣民宿366號,樂津民宿,367苗栗縣三義鄉鯉魚潭村2鄰鯉魚口36之10號
苗栗縣民宿367號,水漾西湖,367苗栗縣三義鄉西湖村2鄰西湖21之1號
苗栗縣民宿369號,老寮民宿,353苗栗縣南庄鄉南江村22鄰南江街50號
