序號,統一登記證編碼,旅館名稱,電話,行動電話,postalcode,countycode,areacode,營業地址,緯度,經度,房間總數,最低價格,最高價格,設有對外營業之餐飲業,星級評鑑
"31","065","承攜行旅新竹中央館","(03)5212323","","300","10018","10018010","300新竹市東區中央路106號B2，1樓，8-15樓","120.969475","24.806053","138","8000","10000","0",""
"32","068","新竹伊普索酒店","(03)5169308","","300","10018","10018010","300新竹市東區公道五路2段111號","121.005757","24.798793","140","12000","25000","0",""
"33","069","芙洛麗大飯店","(03)6238899","","300","10018","10018010","300新竹市東區民族路69號","120.975153","24.806618","72","3000","8000","v",""
"34","070","吉發明月大飯店","(03)5281818","","300","10018","10018010","300新竹市東區東門街128號","120.96956","24.804251","64","3200","6000","0",""
"35","071","晶悅精品旅館","(03)6667567","","300","10018","10018010","300新竹市東區關新二街49號","121.018631","24.785585","57","2000","8000","0",""
"36","075","暐順和選旅","(03)5715888","","300","10018","10018010","300新竹市東區光明里1鄰大學路16號","121.0008043","24.78915","173","9500","60000","v",""
"37","076","達龍商旅","(03)5166666","","300","10018","10018010","300新竹市東區東園里4鄰光復路二段808號","120.9847245","24.8023674","46","3200","8800","v",""
"38","077","水蜜桃時尚旅店","(03)5234138","","300","10018","10018010","300新竹市東區民族路29號","120.9719408","24.8037674","39","2200","8000","0",""
"39","078","琺何旅館有限公司","(03)5610011","","300","10018","10018010","300新竹市東區振興里振興路109號","120.9606446","24.7952615","42","13000","13000","0",""
"40","民宿002","瘋人苑","","0955396833","300","10018","10018010","300新竹市東區新竹市世界街128號","24.807602","120.9671414","5","7200","8800","0",""
