序號,統一登記證編碼,旅館名稱,電話,行動電話,postalcode,countycode,areacode,營業地址,緯度,經度,房間總數,最低價格,最高價格,設有對外營業之餐飲業,星級評鑑
"49","068","新竹伊普索酒店","(03)5169308","","300","10018","10018010","300新竹市東區公道五路2段111號","121.005757","24.798793","140","12000","25000","0",""
"50","069","芙洛麗大飯店","(03)6238899","","300","10018","10018010","300新竹市東區民族路69號","120.975153","24.806618","72","3000","8000","v",""
"51","070","吉發明月大飯店","(03)5281818","","300","10018","10018010","300新竹市東區東門街128號","120.96956","24.804251","64","3200","6000","0",""
"52","071","晶悅精品旅館","(03)6667567","","300","10018","10018010","300新竹市東區關新二街49號","121.018631","24.785585","57","2000","8000","0",""
"53","073","金沙商務旅舘","(03)5368221","","300","10018","10018020","300新竹市北區東濱街18號4樓","120.9260993","24.8327469","15","4000","6000","0",""
"54","074","新舍商旅新竹館","(03)5221082","","300","10018","10018020","300新竹市北區西大路658號","120.960896","24.808261","64","4200","5180","0",""
"55","075","暐順和選旅","(03)5715888","","300","10018","10018010","300新竹市東區光明里1鄰大學路16號","121.0008043","24.78915","173","9500","60000","v",""
"56","076","達龍商旅","(03)5166666","","300","10018","10018010","300新竹市東區東園里4鄰光復路二段808號","120.9847245","24.8023674","46","3200","8800","v",""
"57","077","水蜜桃時尚旅店","(03)5234138","","300","10018","10018010","300新竹市東區民族路29號","120.9719408","24.8037674","39","2200","8000","0",""
"58","078","琺何旅館有限公司","(03)5610011","","300","10018","10018010","300新竹市東區振興里振興路109號","120.9606446","24.7952615","42","13000","13000","0",""
"59","民宿001","或者風旅","(03)5220505","","300","10018","10018020","300新竹市北區大同路175號","24.807347","120.9665807","5","3600","5400","0",""
"60","民宿002","瘋人苑","","0955396833","300","10018","10018010","300新竹市東區新竹市世界街128號","24.807602","120.9671414","5","7200","8800","0",""
